id,title,genres,original_title,popularity,release_date,budget,revenue,runtime,vote_average,vote_count
19995,Avatar,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",Avatar,150.437577,2009-12-10,237000000,2787965087,162,7.2,11800
285,Pirates of the Caribbean: At World's End,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",Pirates of the Caribbean: At World's End,139.082615,2007-05-19,300000000,961000000,169,6.9,4500
206647,Spectre,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}]",Spectre,107.376788,2015-10-26,245000000,880674609,148,6.3,4466
49026,The Dark Knight Rises,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",The Dark Knight Rises,112.31295,2012-07-16,250000000,1084939099,165,7.6,9106
49529,John Carter,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",John Carter,43.926995,2012-03-07,260000000,284139100,132,6.1,2124
559,Spider-Man 3,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",Spider-Man 3,115.699814,2007-05-01,258000000,890871626,139,5.9,3576
38757,Tangled,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",Tangled,48.681969,2010-11-24,260000000,591794936,100,7.4,3330
99861,Avengers: Age of Ultron,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",Avengers: Age of Ultron,134.279229,2015-04-22,280000000,1405403694,141,7.3,6767
767,Harry Potter and the Half-Blood Prince,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}]",Harry Potter and the Half-Blood Prince,98.885637,2009-07-07,250000000,933959197,153,7.4,5293
209112,Batman v Superman: Dawn of Justice,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",Batman v Superman: Dawn of Justice,155.790452,2016-03-23,250000000,873260194,151,5.7,7004
1452,Superman Returns,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",Superman Returns,57.925623,2006-06-28,270000000,391081192,154,5.4,1400
10764,Quantum of Solace,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",Quantum of Solace,107.928811,2008-10-30,200000000,586090727,106,6.1,2965
58,Pirates of the Caribbean: Dead Man's Chest,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",Pirates of the Caribbean: Dead Man's Chest,145.847379,2006-06-20,200000000,1065659812,151,7,5246
57201,The Lone Ranger,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 37, ""name"": ""Western""}]",The Lone Ranger,49.046956,2013-07-03,255000000,89289910,149,5.9,2311
